Tanggal,penjualan aktual,"Hasil Ramalan ES (a=0,1)","Hasil Ramalan ES (a=0,8)"
1/2/2022,352,363.6986598,354.3811304
1/3/2022,340,353.169866,353.9049044
1/4/2022,360,341.3169866,351.1239235
1/5/2022,352,358.1316987,352.8991388
1/6/2022,360,352.6131699,352.719311
1/7/2022,357,359.261317,354.1754488
1/8/2022,360,357.2261317,354.7403591
1/9/2022,368,359.7226132,355.7922872
1/10/2022,359,367.1722613,358.2338298
1/11/2022,362,359.8172261,358.3870638
1/12/2022,363,361.7817226,359.1096511
1/1/2023,,362.8781723,359.8877209
